"No.","Time","D_Time","Source","Destination","Protocol","Length","Sequence num","Ack number","data len","Info"
"20","0.000486s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","11585","1","1448","[TCP segment of a reassembled PDU]"
"21","0.000493s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","13033","","http > 50880 [ACK] Seq=1 Ack=13033 Win=55040 Len=0 TSval=137238360 TSecr=372300909"
"22","0.000495s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","13033","1","1448","[TCP segment of a reassembled PDU]"
"23","0.000501s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","14481","","http > 50880 [ACK] Seq=1 Ack=14481 Win=57984 Len=0 TSval=137238360 TSecr=372300909"
"24","0.000527s","0.000026s","192.168.0.41","192.168.0.42","TCP","1514","14481","1","1448","[TCP segment of a reassembled PDU]"
"25","0.000537s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","15929","","http > 50880 [ACK] Seq=1 Ack=15929 Win=60928 Len=0 TSval=137238360 TSecr=372300909"
"26","0.000540s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","15929","1","1448","[TCP segment of a reassembled PDU]"
"27","0.000546s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","17377","","http > 50880 [ACK] Seq=1 Ack=17377 Win=63744 Len=0 TSval=137238360 TSecr=372300909"
"28","0.000627s","0.000081s","192.168.0.41","192.168.0.42","TCP","1514","17377","1","1448","[TCP segment of a reassembled PDU]"
"29","0.000655s","0.000028s","192.168.0.42","192.168.0.41","TCP","66","1","18825","","http > 50880 [ACK] Seq=1 Ack=18825 Win=66688 Len=0 TSval=137238360 TSecr=372300909"
"30","0.000662s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","18825","1","1448","[TCP segment of a reassembled PDU]"
"31","0.000673s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","20273","","http > 50880 [ACK] Seq=1 Ack=20273 Win=69504 Len=0 TSval=137238360 TSecr=372300909"
"32","0.000677s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","20273","1","1448","[TCP segment of a reassembled PDU]"
"33","0.000685s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","1","21721","","http > 50880 [ACK] Seq=1 Ack=21721 Win=72448 Len=0 TSval=137238360 TSecr=372300909"
"34","0.000687s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","21721","1","1448","[TCP segment of a reassembled PDU]"
"35","0.000694s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","23169","","http > 50880 [ACK] Seq=1 Ack=23169 Win=75392 Len=0 TSval=137238360 TSecr=372300909"
"36","0.000696s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","23169","1","1448","[TCP segment of a reassembled PDU]"
"37","0.000701s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","1","24617","","http > 50880 [ACK] Seq=1 Ack=24617 Win=78208 Len=0 TSval=137238360 TSecr=372300909"
"38","0.000703s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","24617","1","1448","[TCP segment of a reassembled PDU]"
"39","0.000707s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","26065","1","2896","[TCP segment of a reassembled PDU]"
"40","0.000710s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","27513","1","4344","[TCP segment of a reassembled PDU]"
"41","0.000713s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","28961","1","5792","[TCP segment of a reassembled PDU]"
"42","0.000716s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","30409","1","7240","[TCP segment of a reassembled PDU]"
"43","0.000719s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","31857","1","8688","[TCP segment of a reassembled PDU]"
"44","0.000722s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","33305","1","10136","[TCP segment of a reassembled PDU]"
"45","0.000725s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","1","26065","","http > 50880 [ACK] Seq=1 Ack=26065 Win=81152 Len=0 TSval=137238360 TSecr=372300909"
"46","0.000734s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","27513","","http > 50880 [ACK] Seq=1 Ack=27513 Win=84096 Len=0 TSval=137238360 TSecr=372300909"
"47","0.000739s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","1","28961","","http > 50880 [ACK] Seq=1 Ack=28961 Win=86912 Len=0 TSval=137238360 TSecr=372300909"
"48","0.000739s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","34753","1","7240","[TCP segment of a reassembled PDU]"
"49","0.000743s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","1","30409","","http > 50880 [ACK] Seq=1 Ack=30409 Win=89856 Len=0 TSval=137238360 TSecr=372300909"
"50","0.000745s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","36201","1","7240","[TCP segment of a reassembled PDU]"
"51","0.000747s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","1","31857","","http > 50880 [ACK] Seq=1 Ack=31857 Win=92672 Len=0 TSval=137238360 TSecr=372300909"
"52","0.000749s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","37649","1","7240","[TCP segment of a reassembled PDU]"
"53","0.000752s","0.000003s","192.168.0.42","192.168.0.41","TCP","66","1","33305","","http > 50880 [ACK] Seq=1 Ack=33305 Win=95616 Len=0 TSval=137238360 TSecr=372300909"
"54","0.000757s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","1","34753","","http > 50880 [ACK] Seq=1 Ack=34753 Win=98560 Len=0 TSval=137238360 TSecr=372300909"
"55","0.000761s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","1","36201","","http > 50880 [ACK] Seq=1 Ack=36201 Win=101376 Len=0 TSval=137238360 TSecr=372300909"
"56","0.000780s","0.000019s","192.168.0.42","192.168.0.41","TCP","66","1","37649","","http > 50880 [ACK] Seq=1 Ack=37649 Win=104320 Len=0 TSval=137238360 TSecr=372300909"
"57","0.000789s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","39097","","http > 50880 [ACK] Seq=1 Ack=39097 Win=107264 Len=0 TSval=137238360 TSecr=372300909"
"58","0.001030s","0.000241s","192.168.0.41","192.168.0.42","TCP","1514","39097","1","1448","[TCP segment of a reassembled PDU]"
"59","0.001060s","0.000030s","192.168.0.42","192.168.0.41","TCP","66","1","40545","","http > 50880 [ACK] Seq=1 Ack=40545 Win=110080 Len=0 TSval=137238360 TSecr=372300909"
"60","0.001067s","0.000007s","192.168.0.41","192.168.0.42","TCP","1514","40545","1","1448","[TCP segment of a reassembled PDU]"
"61","0.001077s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","41993","","http > 50880 [ACK] Seq=1 Ack=41993 Win=113024 Len=0 TSval=137238360 TSecr=372300909"
"62","0.001080s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","41993","1","1448","[TCP segment of a reassembled PDU]"
"63","0.001089s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","43441","","http > 50880 [ACK] Seq=1 Ack=43441 Win=115840 Len=0 TSval=137238360 TSecr=372300909"
"64","0.001092s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","43441","1","1448","[TCP segment of a reassembled PDU]"
"65","0.001099s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","44889","","http > 50880 [ACK] Seq=1 Ack=44889 Win=118784 Len=0 TSval=137238360 TSecr=372300909"
"66","0.001101s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","44889","1","1448","[TCP segment of a reassembled PDU]"
"67","0.001108s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","46337","","http > 50880 [ACK] Seq=1 Ack=46337 Win=121728 Len=0 TSval=137238360 TSecr=372300909"
"68","0.001110s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","46337","1","1448","[TCP segment of a reassembled PDU]"
"69","0.001116s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","47785","","http > 50880 [ACK] Seq=1 Ack=47785 Win=124544 Len=0 TSval=137238360 TSecr=372300909"
"70","0.001118s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","47785","1","1448","[TCP segment of a reassembled PDU]"
"71","0.001124s","0.000006s","192.168.0.42","192.168.0.41","TCP","66","1","49233","","http > 50880 [ACK] Seq=1 Ack=49233 Win=127488 Len=0 TSval=137238360 TSecr=372300909"
"72","0.001126s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","49233","1","1448","[TCP segment of a reassembled PDU]"
"73","0.001130s","0.000004s","192.168.0.41","192.168.0.42","TCP","1514","50681","1","2896","[TCP segment of a reassembled PDU]"
"74","0.001133s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","52129","1","4344","[TCP segment of a reassembled PDU]"
"75","0.001136s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","53577","1","5792","[TCP segment of a reassembled PDU]"
"76","0.001139s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","55025","1","7240","[TCP segment of a reassembled PDU]"
"77","0.001142s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","56473","1","8688","[TCP segment of a reassembled PDU]"
"78","0.001145s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","57921","1","10136","[TCP segment of a reassembled PDU]"
"79","0.001147s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","59369","1","11584","[TCP segment of a reassembled PDU]"
"80","0.001150s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","60817","1","13032","[TCP segment of a reassembled PDU]"
"81","0.001150s","0.000000s","192.168.0.42","192.168.0.41","TCP","66","1","50681","","http > 50880 [ACK] Seq=1 Ack=50681 Win=130432 Len=0 TSval=137238360 TSecr=372300909"
"82","0.001161s","0.000011s","192.168.0.42","192.168.0.41","TCP","66","1","52129","","http > 50880 [ACK] Seq=1 Ack=52129 Win=133248 Len=0 TSval=137238360 TSecr=372300909"
"83","0.001161s","0.000000s","192.168.0.41","192.168.0.42","TCP","1514","62265","1","11584","[TCP segment of a reassembled PDU]"
"84","0.001164s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","63713","1","13032","[TCP segment of a reassembled PDU]"
"85","0.001166s","0.000002s","192.168.0.42","192.168.0.41","TCP","66","1","53577","","http > 50880 [ACK] Seq=1 Ack=53577 Win=136192 Len=0 TSval=137238360 TSecr=372300909"
"86","0.001171s","0.000005s","192.168.0.42","192.168.0.41","TCP","66","1","55025","","http > 50880 [ACK] Seq=1 Ack=55025 Win=139008 Len=0 TSval=137238360 TSecr=372300909"
"87","0.001175s","0.000004s","192.168.0.42","192.168.0.41","TCP","66","1","56473","","http > 50880 [ACK] Seq=1 Ack=56473 Win=141952 Len=0 TSval=137238360 TSecr=372300909"
"88","0.001182s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","57921","","http > 50880 [ACK] Seq=1 Ack=57921 Win=144896 Len=0 TSval=137238360 TSecr=372300909"
"89","0.001192s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","59369","","http > 50880 [ACK] Seq=1 Ack=59369 Win=147712 Len=0 TSval=137238360 TSecr=372300909"
"90","0.001199s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","60817","","http > 50880 [ACK] Seq=1 Ack=60817 Win=150656 Len=0 TSval=137238360 TSecr=372300909"
"91","0.001207s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","1","62265","","http > 50880 [ACK] Seq=1 Ack=62265 Win=153600 Len=0 TSval=137238360 TSecr=372300909"
"92","0.001214s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","63713","","http > 50880 [ACK] Seq=1 Ack=63713 Win=156416 Len=0 TSval=137238360 TSecr=372300909"
"93","0.001221s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","65161","","http > 50880 [ACK] Seq=1 Ack=65161 Win=159360 Len=0 TSval=137238360 TSecr=372300909"
"94","0.001222s","0.000001s","192.168.0.41","192.168.0.42","TCP","1514","65161","1","1448","[TCP segment of a reassembled PDU]"
"95","0.001232s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","66609","","http > 50880 [ACK] Seq=1 Ack=66609 Win=162176 Len=0 TSval=137238360 TSecr=372300909"
"96","0.001235s","0.000003s","192.168.0.41","192.168.0.42","TCP","1514","66609","1","1448","[TCP segment of a reassembled PDU]"
"97","0.001243s","0.000008s","192.168.0.42","192.168.0.41","TCP","66","1","68057","","http > 50880 [ACK] Seq=1 Ack=68057 Win=165120 Len=0 TSval=137238360 TSecr=372300909"
"98","0.001245s","0.000002s","192.168.0.41","192.168.0.42","TCP","1514","68057","1","1448","[TCP segment of a reassembled PDU]"
"99","0.001254s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","1","69505","","http > 50880 [ACK] Seq=1 Ack=69505 Win=168064 Len=0 TSval=137238360 TSecr=372300909"
"100","0.001267s","0.000013s","192.168.0.41","192.168.0.42","TCP","1514","69505","1","1448","[TCP segment of a reassembled PDU]"
"101","0.001277s","0.000010s","192.168.0.42","192.168.0.41","TCP","66","1","70953","","http > 50880 [ACK] Seq=1 Ack=70953 Win=170880 Len=0 TSval=137238360 TSecr=372300909"
"102","0.001281s","0.000004s","192.168.0.41","192.168.0.42","HTTP","924","70953","1","858","POST / HTTP/1.0  (text/plain)"
"103","0.001288s","0.000007s","192.168.0.42","192.168.0.41","TCP","66","1","71811","","http > 50880 [ACK] Seq=1 Ack=71811 Win=173824 Len=0 TSval=137238360 TSecr=372300909"
"104","0.001372s","0.000084s","192.168.0.42","192.168.0.41","HTTP","406","1","71811","340","HTTP/1.1 200 OK  (text/html)"
"105","0.001479s","0.000107s","192.168.0.41","192.168.0.42","TCP","66","71811","341","","50880 > http [ACK] Seq=71811 Ack=341 Win=30336 Len=0 TSval=372300909 TSecr=137238360"
"106","0.001488s","0.000009s","192.168.0.42","192.168.0.41","TCP","66","341","71811","","http > 50880 [FIN, ACK] Seq=341 Ack=71811 Win=173824 Len=0 TSval=137238360 TSecr=372300909"
"107","0.001563s","0.000075s","192.168.0.41","192.168.0.42","TCP","66","71811","342","","50880 > http [FIN, ACK] Seq=71811 Ack=342 Win=30336 Len=0 TSval=372300909 TSecr=137238360"
"108","0.001581s","0.000018s","192.168.0.42","192.168.0.41","TCP","66","342","71812","","http > 50880 [ACK] Seq=342 Ack=71812 Win=173824 Len=0 TSval=137238360 TSecr=372300909"
